site,month,day,year,do,temp,ph,cond,chl,alk,turb,nh3,tn,no3,tp,srp
HOW,8,6,2012,8.9,23.9,7.9,118,1.3,43.9,0.7,6.5,448,8.2,5.9,3
HOW,7,10,2013,9.06,23.3,7.8,119.9,1.5,45.1,0.53,9.1,417.9,5.2,8.1,1.3
KET,8,31,2009,15.3,20.9,9.9,168,323,47.1,13.3,8,1571,-0.3,218,119
KET,6,23,2010,3.4,21.2,7.3,146,1.2,42.1,4.3,481,1753,33.6,125,84.6
KET,7,15,2013,14.19,23.9,10,144.3,54.9,37.4,4.79,9.4,1289.8,9.3,59.5,4.3
KI,9,21,2009,8.2,20.9,7.3,47,1.5,9.3,0.6,30.2,350,0,0.4,0.7
KI,6,21,2010,9.1,17.6,7.4,44,2.8,9.4,0.7,9.2,305,0.7,-9.5,4.6
KI,7,25,2011,8.9,20.5,8,44,4.7,9.7,0.7,5.6,339,13.9,-4.5,0.8
KI,8,6,2012,8.6,24.1,7.3,44,1.1,10,0.6,6.2,325,7.5,2.2,0.4
KI,7,10,2013,9.58,25,7.7,44.4,3.2,10.1,0.61,7.4,319,0.7,5.5,0.6
LOM,9,21,2009,8,20.7,7,57,8.3,9.4,1.9,38.6,652,-0.2,19.4,3.5
LOM,6,21,2010,8.6,17.1,6.8,46,11.3,8.1,6.4,5.6,1016,-1.1,18.1,5.2
LOM,7,25,2011,7.8,20.5,7,44,30.5,9.1,5.7,3.3,900,6.2,25.6,11.6
LOM,8,6,2012,7.2,24.9,6.9,48,3.1,8.9,0.8,24.3,626,18.4,21.7,2.7
LOM,7,10,2013,7.56,25.3,6.6,45.2,5,8.7,1.03,19.1,699.3,5.9,36.4,3
LON,4,29,2008,9.5,13.8,7.8,167,7.7,53.2,2.9,11.4,365.2,6.9,32.2,3.4
LON,8,27,2008,5.1,19.8,8,193,32.4,68.8,4.5,389,1466.1,7,363.6,223
LON,8,24,2009,14.6,21.8,9.6,196,596,67.1,32.8,10,2671,0.9,335,32.6
LON,9,29,2009,10.4,17.1,8.8,194,257.6,66.8,17.7,10.3,1544,3.3,187.9,73
LON,7,14,2010,10.6,23,9.5,175,41.1,57.7,11.1,3.7,1694,1.6,268,150
LON,7,18,2011,7.9,21.3,7.7,164,10.5,56.9,3.2,117,1275,25.3,89,27.3
LON,4,16,2012,10,13.6,7.3,153,6.2,52.7,2.5,1.9,872,4,32.1,4.8
LON,7,22,2013,11.03,22.7,9.3,163.1,58.6,60.5,4.2,36.8,1783.3,6.6,168.2,22
LOU,4,19,2007,10.4,11.4,6.7,64,4.2,17.4,1.9,65,756.6,518,10.4,7.5
LOU,8,23,2007,8.8,21.6,7.7,68,10.9,23.3,1.1,1.1,283,1.2,11.5,7.4
LOU,4,17,2008,11.8,9.9,7.4,69,3.2,18.3,0.8,31.3,598.1,466.8,12.9,5.5
LOU,8,13,2008,8.1,22.3,7.7,71,4.1,24.3,1.7,7,327.5,0.5,6.8,3.3
LOU,5,26,2009,9.2,19.9,7.7,69,6,20.1,1.1,-0.6,465,233.4,13.5,2.5
LOU,8,10,2009,8.2,20.6,7.8,74,3.2,23.1,0.8,7.5,282,7.9,9.3,3.4
LOU,6,16,2010,9.4,17.2,7.5,62,5.1,21.2,3.8,7.1,316,68.6,2.4,3.9
LOU,4,19,2012,12.3,12,7.5,65,3.2,18.3,0.6,6.1,537,352,10.5,4.6
